Title,HE students by CAH level 1 and sex and academic year,"",""
Location,UK,"",""
Academic years,2019/20 to 2020/21,"",""
Data source,HESA,"",""
Data collection,"051, 054","",""
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/chart-11,"",""
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/chart-11.csv,"",""
Licence,Creative Commons Attribution 4.0 International Licence,"",""
Code page,Unicode UTF-8,"",""
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,"",""
"","","",""
Last updated,February 22,"",""
"","","",""
CAH level 1,Sex,Academic Year,Number
01 Medicine and dentistry,Female,2019/20,42610
01 Medicine and dentistry,Male,2019/20,27605
01 Medicine and dentistry,Female,2020/21,47435
01 Medicine and dentistry,Male,2020/21,29445
02 Subjects allied to medicine,Female,2019/20,233810
02 Subjects allied to medicine,Male,2019/20,61435
02 Subjects allied to medicine,Female,2020/21,269305
02 Subjects allied to medicine,Male,2020/21,69445
03 Biological and sport sciences,Female,2019/20,55460
03 Biological and sport sciences,Male,2019/20,57460
03 Biological and sport sciences,Female,2020/21,58050
03 Biological and sport sciences,Male,2020/21,59050
04 Psychology,Female,2019/20,96650
04 Psychology,Male,2019/20,22175
04 Psychology,Female,2020/21,109505
04 Psychology,Male,2020/21,25265
05 Veterinary sciences,Female,2019/20,8695
05 Veterinary sciences,Male,2019/20,1945
05 Veterinary sciences,Female,2020/21,9430
05 Veterinary sciences,Male,2020/21,2100
"06 Agriculture, food and related studies",Female,2019/20,10730
"06 Agriculture, food and related studies",Male,2019/20,5995
"06 Agriculture, food and related studies",Female,2020/21,12070
"06 Agriculture, food and related studies",Male,2020/21,6325
07 Physical sciences,Female,2019/20,27560
07 Physical sciences,Male,2019/20,38735
07 Physical sciences,Female,2020/21,29045
07 Physical sciences,Male,2020/21,39005
09 Mathematical sciences,Female,2019/20,17400
09 Mathematical sciences,Male,2019/20,29320
09 Mathematical sciences,Female,2020/21,18010
09 Mathematical sciences,Male,2020/21,30405
10 Engineering and technology,Female,2019/20,34845
10 Engineering and technology,Male,2019/20,140170
10 Engineering and technology,Female,2020/21,36875
10 Engineering and technology,Male,2020/21,146060
11 Computing,Female,2019/20,26285
11 Computing,Male,2019/20,105485
11 Computing,Female,2020/21,32480
11 Computing,Male,2020/21,120975
"13 Architecture, building and planning",Female,2019/20,22665
"13 Architecture, building and planning",Male,2019/20,36875
"13 Architecture, building and planning",Female,2020/21,23970
"13 Architecture, building and planning",Male,2020/21,38195
"26 Geography, earth and environmental studies (natural sciences)",Female,2019/20,16410
"26 Geography, earth and environmental studies (natural sciences)",Male,2019/20,15295
"26 Geography, earth and environmental studies (natural sciences)",Female,2020/21,17005
"26 Geography, earth and environmental studies (natural sciences)",Male,2020/21,15335
15 Social sciences,Female,2019/20,173015
15 Social sciences,Male,2019/20,87150
15 Social sciences,Female,2020/21,188365
15 Social sciences,Male,2020/21,93725
16 Law,Female,2019/20,78695
16 Law,Male,2019/20,43955
16 Law,Female,2020/21,87805
16 Law,Male,2020/21,50170
17 Business and management,Female,2019/20,199395
17 Business and management,Male,2019/20,213240
17 Business and management,Female,2020/21,225915
17 Business and management,Male,2020/21,248675
19 Language and area studies,Female,2019/20,69210
19 Language and area studies,Male,2019/20,27085
19 Language and area studies,Female,2020/21,66895
19 Language and area studies,Male,2020/21,25250
"20 Historical, philosophical and religious studies",Female,2019/20,46925
"20 Historical, philosophical and religious studies",Male,2019/20,38835
"20 Historical, philosophical and religious studies",Female,2020/21,46890
"20 Historical, philosophical and religious studies",Male,2020/21,38750
22 Education and teaching,Female,2019/20,100160
22 Education and teaching,Male,2019/20,29535
22 Education and teaching,Female,2020/21,104995
22 Education and teaching,Male,2020/21,30795
23 Combined and general studies,Female,2019/20,26095
23 Combined and general studies,Male,2019/20,15095
23 Combined and general studies,Female,2020/21,28265
23 Combined and general studies,Male,2020/21,16190
"24 Media, journalism and communications",Female,2019/20,28610
"24 Media, journalism and communications",Male,2019/20,17800
"24 Media, journalism and communications",Female,2020/21,28895
"24 Media, journalism and communications",Male,2020/21,18585
"25 Design, and creative and performing arts",Female,2019/20,118535
"25 Design, and creative and performing arts",Male,2019/20,67600
"25 Design, and creative and performing arts",Female,2020/21,120355
"25 Design, and creative and performing arts",Male,2020/21,68710
"26 Geography, earth and environmental studies (social sciences)",Female,2019/20,7045
"26 Geography, earth and environmental studies (social sciences)",Male,2019/20,4910
"26 Geography, earth and environmental studies (social sciences)",Female,2020/21,7235
"26 Geography, earth and environmental studies (social sciences)",Male,2020/21,5070
